year,team,win_total
2018,Alabama,11.0
2018,Auburn,9.0
2018,Baylor,6.0
2018,Clemson,11.0
2018,Florida,8.0
2018,Florida State,7.5
2018,Georgia,10.5
2018,LSU,7.0
2018,Louisville,7.0
2018,Miami,9.5
2018,Michigan State,9.0
2018,Mississippi State,8.5
2018,Missouri,6.5
2018,NC State,7.0
2018,Nebraska,6.5
2018,Notre Dame,9.5
2018,Ohio State,10.5
2018,Oklahoma,10.0
2018,Oklahoma State,8.0
2018,Oregon,8.5
2018,Penn State,9.5
2018,South Carolina,7.5
2018,Stanford,8.0
2018,TCU,7.5
2018,Tennessee,5.5
2018,Texas,8.5
2018,Texas A&M,7.0
2018,UCF,9.5
2018,UCLA,5.5
2018,USC,8.5
2018,Virginia Tech,8.5
2018,Washington,10.5
2018,Washington State,6.5
2018,West Virginia,7.0
2018,Wisconsin,10.0
2019,Air Force,7.5
2019,Akron,3.5
2019,Alabama,11.0
2019,Appalachian State,9.0
2019,Arizona,6.5
2019,Arizona State,6.5
2019,Arkansas,5.5
2019,Army,10.0
2019,Auburn,7.5
2019,BYU,6.5
2019,Baylor,7.5
2019,Boise State,10.0
2019,Boston College,6.0
2019,Buffalo,6.0
2019,California,5.5
2019,Cincinnati,7.5
2019,Clemson,11.5
2019,Colorado,4.0
2019,Duke,5.5
2019,Florida,9.0
2019,Florida Atlantic,7.5
2019,Florida State,7.5
2019,Fresno State,8.0
2019,Georgia,10.5
2019,Georgia Tech,3.5
2019,Houston,7.5
2019,Illinois,4.5
2019,Indiana,6.0
2019,Iowa,7.5
2019,Iowa State,8.0
2019,Kansas,3.0
2019,Kansas State,5.5
2019,Kentucky,6.5
2019,LSU,9.0
2019,Liberty,5.5
2019,Louisville,3.5
2019,Maryland,4.0
2019,Memphis,9.5
2019,Miami,8.5
2019,Michigan,9.5
2019,Michigan State,8.0
2019,Minnesota,7.5
2019,Mississippi State,7.5
2019,Missouri,8.0
2019,NC State,7.5
2019,Nebraska,8.5
2019,North Carolina,4.5
2019,Northwestern,6.5
2019,Notre Dame,9.0
2019,Ohio State,10.0
2019,Oklahoma,10.5
2019,Oklahoma State,7.5
2019,Ole Miss,5.0
2019,Oregon,9.0
2019,Oregon State,2.5
2019,Penn State,8.5
2019,Pittsburgh,6.0
2019,Purdue,7.0
2019,Rutgers,2.5
2019,SMU,6.0
2019,San Diego State,8.0
2019,South Carolina,5.5
2019,South Florida,6.5
2019,Stanford,6.5
2019,Syracuse,7.5
2019,TCU,7.5
2019,Temple,6.5
2019,Tennessee,6.5
2019,Texas,9.5
2019,Texas A&M,7.5
2019,Texas Tech,6.0
2019,UCF,9.0
2019,UCLA,6.0
2019,USC,7.0
2019,Utah,9.0
2019,Vanderbilt,5.0
2019,Virginia,7.5
2019,Virginia Tech,8.0
2019,Wake Forest,6.0
2019,Washington,9.5
2019,Washington State,8.0
2019,West Virginia,5.5
2019,Wisconsin,8.0
2021,Air Force,6.5
2021,Alabama,11.5
2021,Appalachian State,9.0
2021,Arizona,2.5
2021,Arizona State,9.0
2021,Arkansas,6.0
2021,Army,8.0
2021,Auburn,7.0
2021,BYU,6.5
2021,Baylor,5.5
2021,Boise State,9.0
2021,Boston College,7.0
2021,California,6.0
2021,Cincinnati,10.0
2021,Clemson,11.5
2021,Coastal Carolina,10.0
2021,Colorado,4.5
2021,Duke,3.5
2021,Florida,9.0
2021,Florida State,5.5
2021,Fresno State,6.0
2021,Georgia,10.5
2021,Georgia Tech,5.0
2021,Houston,8.0
2021,Illinois,3.5
2021,Indiana,8.0
2021,Iowa,8.5
2021,Iowa State,9.5
2021,Kansas,1.0
2021,Kansas State,5.5
2021,Kentucky,7.0
2021,LSU,8.5
2021,Liberty,9.0
2021,Louisiana,9.5
2021,Louisville,7.0
2021,Marshall,8.0
2021,Maryland,6.0
2021,Memphis,8.0
2021,Miami,9.5
2021,Michigan,7.5
2021,Michigan State,4.5
2021,Minnesota,7.0
2021,Mississippi State,6.0
2021,Missouri,7.0
2021,NC State,6.0
2021,Nebraska,6.0
2021,North Carolina,10.0
2021,Northwestern,6.0
2021,Notre Dame,9.0
2021,Ohio State,11.0
2021,Oklahoma,11.0
2021,Oklahoma State,7.5
2021,Ole Miss,7.5
2021,Oregon,9.0
2021,Oregon State,4.5
2021,Penn State,9.0
2021,Pittsburgh,7.0
2021,Purdue,5.0
2021,SMU,6.0
2021,San Diego State,6.5
2021,South Carolina,3.5
2021,Stanford,4.0
2021,Syracuse,3.0
2021,TCU,7.5
2021,Tennessee,6.0
2021,Texas,8.0
2021,Texas A&M,9.5
2021,Texas Tech,4.5
2021,UCF,9.5
2021,UCLA,7.0
2021,USC,8.5
2021,Utah,8.5
2021,Vanderbilt,3.0
2021,Virginia,6.0
2021,Virginia Tech,7.0
2021,Wake Forest,6.5
2021,Washington,9.0
2021,Washington State,6.0
2021,West Virginia,6.5
2021,Wisconsin,9.5
2022,Air Force,8.5
2022,Alabama,10.5
2022,Appalachian State,8.5
2022,Arizona,2.5
2022,Arizona State,6.5
2022,Arkansas,7.5
2022,Army,8.0
2022,Auburn,6.5
2022,BYU,8.5
2022,Baylor,7.5
2022,Boise State,9.5
2022,Boston College,6.5
2022,California,5.5
2022,Cincinnati,9.0
2022,Clemson,10.5
2022,Coastal Carolina,8.0
2022,Colorado,3.5
2022,Duke,3.0
2022,Florida,7.0
2022,Florida State,6.5
2022,Fresno State,8.5
2022,Georgia,10.5
2022,Georgia Tech,3.5
2022,Houston,9.0
2022,Illinois,4.5
2022,Indiana,4.0
2022,Iowa,7.5
2022,Iowa State,6.5
2022,Kansas,2.5
2022,Kansas State,6.5
2022,Kentucky,7.5
2022,LSU,7.0
2022,Liberty,6.5
2022,Louisiana,8.5
